userid;langint;imode;indate_paper;language_paper;intstart;intend;Finished;Completion_Rate;totaltime;UserLanguage;sex;birthyear;age;agecat;f10000;f10100;f12700c;f12700rec;f12720rec;f12720main6;f12730c;f12730rec;f12740rec;f12740main6;Q03;Q04a;Q04b;Q04c;Q04d;Q05a;Q05b;Q05c;Q06;f12800a;f12800b;f12800c;f12800g;f12800j;f12800l;f12800m;Q08a;Q08b;f14610;f14620;f15656;f13306;f13660a;f13660b;f13660c;f13660d;f13660e;f13660f;f13660g;f13660i;f13660j;f13660k;f13660l;f13660m;f13660n;Q02a;Q02b;Q02c;Q02d;Q02e;Q02f;Q02g;f11100;f11100rec;f11700;f11301;f11302;f11303;f11304;f11305;f11306;f11307;f11308;f11309;f11310;f11311;f11312;f11400rec;f11400main6;f11600;f11605;f11800rec;f11800main6;f11800ZH;f11800TI;f11800GE;f11805;f11810rec;f11810rec_other;f11900;f12010;f12020a;f12020b;f12020c;f12025;f12030a;f12030b;f12030c;f12030d;f12030e;f12030f;f12030h;f12030i;f12030j;f12030k;f12030l;f12030m;f12030n;f12030o;f12301;f12301p;f12301pmain6;f12302;f12302p;f12302pmain6;f13741;f13742;Q12;Q13;f10200;f10200rec;f10250;f10300rec;f10300main7_combined;Q15;f15130a;f15130c;f15130d;f15130e;f15130f;f15130h;f15130i;f15130j;f15200;f13700;f14000;f14050;f14010rec;f14010main6;f14070;Q24;Q25a;Q25b;Q26b;Q27a;Q27b;Q27c;f12500;n13_030a1;n13_030a2;n13_030a3;n13_030a4;n13_030b1;n13_030b2;n13_030b3;n13_030b4;n13_030c1;n13_030c2;n13_030c3;n13_030c4;n13_030d1;n13_030d2;n13_030d3;n13_030d4;n13_030e1;n13_030e2;n13_030e3;n13_030e4;n13_030f1;n13_030f2;n13_030f3;n13_030f4;n13_030g1;n13_030g2;n13_030g3;n13_030g4;f14081rec;f14081main6;f14400a;f14400c;f14400d;f14400e;f14400f;f14400h;f14400i;f14400j;f12026;f13322;f12900rec;f12900main7_combined;f12905rec;f12905main7_combined;f15420;f15430;f15435;f15440;f15470;f15480;f15485;f15811;f15815;f15816;f15817;f15900;f15900rec;f16300;f16300rec;f16312;f16312rec;f16313;f16313rec;f16314;f16314rec;f20300;E11;f20500;f20700;f20710;f20221;f20221_det;f20210rec1;f20210rec2;f20210rec3;f20212;f20213;f20760;f20900;f21310;E6b_lev;f21400;f26100;f21500_f24900;f21500;f24900;f21550_f24950;f21550;f24950;ISCO08prof_r_2dig;ISCO08prof_r_pre_2dig;ISCO08prof_r_pst_2dig;f21700_f25100;f21700;f25100;f21750_f25150;f21750;f25150;f21800;f21910;E6b_lev_partner;f22000_f22400;f22100_f22500;f22150_f22550;ISCO08prof_p_2dig;ISCO08prof_p_pre_2dig;ISCO08prof_p_pst_2dig;f22300_f22700;f22350_f22750;f22910;E6b_lev_main_earner;f23000_f23400;f23100_f23500;f23150_f23550;ISCO08prof_me_2dig;ISCO08prof_me_pre_2dig;ISCO08prof_me_pst_2dig;f23300_f23700;f23350_f23750;f28910;f29100;f21200;class16_r;class8_r;class5_r;class16_p;class8_p;class5_p;class16_h;class8_h;class5_h;class16;class8;class5;birthcountry_sample;hhsize_sample;lingreg_sample;canton_sample;bigregion_sample;smt3;smt9;msize;weight_d;weight_d_t;weight_d_p;weight_tot;weight_t_zh;weight_p_zh;weight_tot_zh;weight_t_ti;weight_p_ti;weight_tot_ti;weight_t_ge;weight_p_ge;weight_tot_ge
1001;2;1; ; ;11/7/2023 14:28:40;11/16/2023 21:19:15;1;2;13370,5666666667;FR;2;2002;21;1;25;4;116;14;30;30;6;8;30;30;4;5;4;2;1;1;4;2;9;3;3;2;3;3;2;2;2;3;3;3;3;4;1;1;1;0;0;0;1;1;1;1;0;0;0;7;1;1;4;1;7;2;3;0; ;2;2;2;2;2;2;1;2;2;2;2;2;130;350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;2; ;3; ; ; ;5;9;3;10;2;6; ;10;7;1;3;1; ;130;350;2;2;3;5;2;3;4;3;7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0; ; ;1;10;0;10;1; ;0;2;2;3;30;30;30;30;5;2;1;1;1;1;1;2;3;4;4;3;1;3;0;2;0;4;1;1;1;2002;4;3;1;0;2;48;8100; ; ;8513;8513;8; ;9; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13;3;1;1; ;-99;-99; ;2;3;18;1;2; ; ; ; ; ; ; ; ; ; ; ; ;8100;4;fr;GE;1;1;11;1;,372996194324858;,599246512333914;,372996194324858;,599246512333914;1;1;1;1;1;1;1,49920369;1;1,49920369
1002;1;1; ; ;10/24/2023 13:26:04;10/24/2023 13:51:42;1;2;25,6333333333333;DE;2;1952;71;6;3;4;13;13;21;21;1;16;21;21;5;5;1;5;1;1;1;1;10;4;3;3;2;2;1;1;4;4;4;3;4;4;0;0;1;0;1;0;1;1;0;1;0;0;0;1;3;3;7;0;0; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;21;21; ; ; ; ;4; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;31;21;21;34;10;10;3; ;4;1;5;1;3;20;21;5;5;0;10;1;2; ; ;5;5;4;1; ;21;21;3;2;5;5;3;3;3;3;10;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;0;1; ; ;0;3;0;0;0; ; ;10;2;4;20;21;20;21;3;4;5;4;4;1;2;3;4;3;4;3;1;1;1;5;0;4;1;1;1;1978;1;2; ; ;1;33;8100; ; ;8100;8100;2;4;10; ;7;2;2; ;2; ; ; ;11; ;11;4; ;4;3; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;1;2;9;5;1; ; ; ; ; ; ;9;5;1;8100;2;de;LU;6;3;32;6;1,48808191688856;1,03941297203248;1,39793884420538;,976448777640773;1;1;1;1;1;1;1;1;1
1003;1;1; ; ;11/13/2023 20:36:39;11/13/2023 20:56:14;1;2;19,5666666666667;DE;-99;1969;54;4;12;4;17;4;50;50;30;16;30;30;5;5;3;2;1;1;3;4;6;3;2;2;3;3;3;1;3;4;1;3;2;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;50;50; ; ; ;weil sie am meisten meine Meinung vertritt; ;                                 -999,00;1;2;1;1;1;3;0;0;1;0; ;0; ; ;0;0;0;0;0;0;350;350;350; ; ; ;4; ;3;3;5;1;12;50;50;5;8;3;10;2;6; ; ;6;0;2;1; ;50;50;2;2;3;4;2;3;3;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0; ; ;1;10;0;10;2; ; ;2;2;3;30;30;130;350;5;2;1;1;1;1;2;2;4;4;4;3;1;1;1;1;1;4;1;1;1;1999;3;2;0;1;1;33;8100; ; ;8234;8100;8; ;11;1;2; ;2;2; ; ; ; ;26;26; ;4;4; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;2;1;14;7;2; ; ; ; ; ; ;14;7;2;8100;1;de;BS;3;1;11;1;1,33503718308189;,932512485026683;1,69823112335904;1,18620046322414;1;1;1;1;1;1;1;1;1
1004;1;1; ; ;10/24/2023 7:41:41;10/24/2023 8:13:56;1;2;32,2333333333333;DE;1;1951;72;6;18;4;17;4;50;50;6;8;21;21;5;5;5;4;2;1;1;1;10;3;2;2;4;4;3;1;3;4;2;3;4;4;1;0;0;0;0;0;0;1;0;1;1;1;1;7;0;0;7;0;0; ;4;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;30;30; ; ; ; ;2; ;1;2;1;1;1;3;0;0; ;0;1;0; ; ;0;0;0;0;0;0;997;997;-99; ; ; ;2; ;3;1;5;1;18;30;30;5;7;2;10;2;5; ; ;5;2;3;1; ;30;30;2;2;3;3;4;3;4;3;10;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0; ; ;0;10;0;7;3; ; ;3;2;3;10;10;10;10;5;3;1;1;1;1;2;2;4;4;4;3;1;1;1;1;1;4;1;1;1;1980;3;1; ; ;1;33;8100; ; ;8100;8100;1;2;13;2;7;1;2; ;2; ; ; ;26; ;26;2; ;2;11; ;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;2;13;7;1; ; ; ; ; ; ;13;7;1;8100;1;de;GR;5;2;22;6;,912487307953599;,637364874835044;,790752482302685;,552334100995496;1;1;1;1;1;1;1;1;1
1005;1;1; ; ;11/3/2023 13:42:10;11/3/2023 14:05:17;1;2;23,1166666666667;DE;2;1965;58;5;8;4;6;8;21;21;33;4;21;21;5;5;5;1;4;1;1;2;10;3;3;2;4;3;2;1;3;4;2;3;3;4;-99;-99;1;-99;-99;-99;-99;-99;1;1;-99;-99;-99;5;0;5;6;0;7;1;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;21;21; ; ; ; ;6; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;49;10;10;51;50;50;2; ;3;1;5;1;8;70;21;5;9;2;98;1;4; ; ;5;5;4;1; ;21;21;2;2;5;5;3;4;4;3;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;10;10;0;10;10; ; ;10;98;3;10;10;10;10;3;4;3;4;2;2;2;3;1;2;4;3;1;1;1;3;0;4;1;1;1;1965;1;2; ; ;1;33;8100; ; ;8100;8100;1;2;9; ;2; ;3;3; ; ; ; ;13;13; ;2;2; ;6;6; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;2;9;5;1; ; ; ; ; ; ;9;5;1;8100;3;de;GL;5;1;13;4;,286865308872184;,200373057345728;,269487958812037;,188235121344307;1;1;1;1;1;1;1;1;1
1006;1;1; ; ;10/25/2023 18:44:28;10/25/2023 19:05:14;1;2;20,75;DE;1;1994;29;2;10;2;17;4;50;50;13;13;998;998;4;3;4;2;1;2;4;1;8;4;3;2;4;4;3;2;4;3;2;5;3;2;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;4;2;6;3; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60;60; ; ; ; ; ;                                 -999,00; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-99; ;4;1;5;1;10;998;998;4;7;1;9;2;5; ; ;6;5;3;0;0; ; ; ;2;5;5;3;2;3;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ; ;9;10;4;10;10; ; ;10;98;2;100;350;100;350;3;4;3;3;2;3;2;3;3;3;4;3;1;1;1;3;0;4;1;1;1;1994;4;2;1; ;1;33;8100; ; ;8100;8100;1;2;13;2;1; ;3;3; ; ; ; ;21;21; ;1;1; ;1;1; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12;1;1;5;3;1; ; ; ; ; ; ;5;3;1;8100;2;de;FR;2;2;22;7;1,65778374780222;1,15794830427961;1,57877122394543;1,10275870663871;1;1;1;1;1;1;1;1;1
1007;1;1; ; ;10/29/2023 14:26:24;10/29/2023 14:39:59;1;2;13,5666666666667;DE;2;1985;38;3;1;3;75;14;10;10;2;16;10;10;4;5;4;2;3;3;3;1;9;3;2;1;4;3;3;1;3;3;2;4;2;4;0;0;0;0;0;0;1;1;1;1;0;0;1;4;1;7;2;3;1; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;10;10;10; ; ; ;2; ;2;2;1;1;98;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;10;10;997;997;997;4; ;2;1;5;1;1;10;10;5;8;0;10;1;3; ; ;5;7;3;1; ;10;10;2;2;5;5;4;2;4;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ;10;0;2;0;2; ; ;3;2;4;10;10;10;10;2;4;5;1;4;4;2;4;1;1;4;3;1;1;1;3;0;4;1;1;1;1985;4;2;1; ;1;33;8100; ; ;8100;8100;1;2;13;2;1; ;1;1; ; ; ; ;24;24; ;1;1; ;8;8; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;1;2;9;5;1; ; ; ; ; ; ;9;5;1;8100;2;de;ZH;4;1;11;4;1,58514417003766;1,10721015703479;1,52900446781682;1,06799703706328;,669342457;,78125;,52292379453125;1;1;1;1;1;1
1008;2;1; ; ;10/26/2023 14:53:37;10/26/2023 15:15:28;1;2;21,8333333333333;FR;2;1980;43;3;26;2;53;16;30;30;17;4;998;998;2;4;4;2;2;3;3;3;7;3;3;3;3;3;2;2;3;2;2;1;2;3;0;0;0;0;0;0;0;1;0;1;0;0;1;0;2;4;2;0;1; ;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;30;30; ; ; ;Ce parti est celui qui défend le mieux les intérêts des petits revenus; ;                                 -999,00;2;2;2;1;1;2;0;1; ;0;0;0; ; ;0;0;0;0;0;0;175;30;30;178;21;21;4; ;4;2;5;1;26;30;30;3;7;1;10;2;4; ; ;5;2;3;1; ;30;30;2;3;5;5;3;2;98;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0; ; ;2;10;1;7;5; ; ;5;98;2;998;998;998;998;4;3;2;2;1;1;3;1;4;3;2;4;0;1;1;3;0;4;1;98;0;1980;1;4; ;2;2;48;8100; ; ;8100;8100;2;2;9; ;2; ;3;3; ; ; ; ;41;41; ;2;2; ;5;5; ;2;5; ;1;3; ;43;43; ;1;2; ; ; ; ; ; ; ; ; ; ;8;2;2;11;6;4;11;6;4; ; ; ;11;6;4;8100;4;fr;JU;2;2;31;5;,673507362874369;,47043935000215;,583654823908109;,407678091020613;1;1;1;1;1;1;1;1;1
1009;1;1; ; ;10/24/2023 12:59:08;10/24/2023 13:33:07;1;2;33,9666666666667;DE;1;1958;65;6;22;4;61;4;60;60;6;8;40;40;4;5;5;1;3;4;4;3;8;3;4;3;4;4;3;1;3;3;3;3;4;3;0;1;1;0;1;0;1;1;0;0;0;1;1;5;2;1;3;0;0; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;60;60; ; ; ;Um mehr für die Umwelt zu tun; ;                                 -999,00;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;133;50;50;135;402;350;3; ;2;1;5;1;22;60;60;4;5;3;10;5;4; ; ;5;5;3;0;1;60;60;1;2;5;5;4;2;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;4;3;2;6;6; ; ;5;98;3;504;-99;504;-99;3;5;5;1;4;3;3;2;3;3;3;4;0;1;1;4;0;4;1;3;0;2006;1;3; ;0;1;33;8207; ; ;8207;8207;8; ;13;3;1; ;1;1; ; ; ; ;12;12; ;1;1; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;1;2;9;5;1; ; ; ; ; ; ;9;5;1;8207;4;fr;VD;1;2;22;7;1,9620866084225;1,37050134801033;1,8685705420703;1,30518114530054;1;1;1;1;1;1;1;1;1
1010;3;1; ; ;10/24/2023 20:19:38;10/24/2023 20:47:37;1;2;27,9666666666667;IT;2;1940;83;7;21;3;19;13;40;40;1;16;40;40;4;1;5;2;1;4;4;4;5;3;3;3;3;3;3;2;2;3;1;2;2;2;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;2;0;0; ;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;-99;-99; ;-99; ;-99; ;                                 -999,00;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-99;-99;-99; ; ; ;3; ;3;1;4;1;21;-99;-99;4;-99;-99;-99;-99;-99;-99; ;-99;-99;3;0;0; ; ; ;3;98;98;98;1;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;-99;-99;-99;-99;-99;-99; ;-99;2;1;-99;-99;-99;-99;3;3;3;2;3;2;3;1;3;2;3;98;0;98;0;98;0;4;1;98;0;1962;2;1; ; ;3;73;8218; ; ;8218;8218;2;6;2; ;7;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-99;98;1; ; ; ; ; ; ; ; ; ; ; ; ;8218;1;it;TI;7;3;33;8;,303860286532778;,212243909372987;,303860286532778;,212243909372987;1;1;1;,749547555;1;,749547555;1;1;1
