alter,wohnfläche (in m2) pro person,time_period,source_sheet,sheet_type
0,27.6,2024,GWS-STATPOP2024,wohnflaeche
1,28.3,2024,GWS-STATPOP2024,wohnflaeche
2,28.2,2024,GWS-STATPOP2024,wohnflaeche
3,28.1,2024,GWS-STATPOP2024,wohnflaeche
4,27.9,2024,GWS-STATPOP2024,wohnflaeche
5,28.1,2024,GWS-STATPOP2024,wohnflaeche
6,28.2,2024,GWS-STATPOP2024,wohnflaeche
7,28.3,2024,GWS-STATPOP2024,wohnflaeche
8,28.5,2024,GWS-STATPOP2024,wohnflaeche
9,28.7,2024,GWS-STATPOP2024,wohnflaeche
10,28.9,2024,GWS-STATPOP2024,wohnflaeche
11,29.3,2024,GWS-STATPOP2024,wohnflaeche
12,29.4,2024,GWS-STATPOP2024,wohnflaeche
13,29.7,2024,GWS-STATPOP2024,wohnflaeche
14,30.0,2024,GWS-STATPOP2024,wohnflaeche
15,30.3,2024,GWS-STATPOP2024,wohnflaeche
16,30.7,2024,GWS-STATPOP2024,wohnflaeche
17,30.9,2024,GWS-STATPOP2024,wohnflaeche
18,31.3,2024,GWS-STATPOP2024,wohnflaeche
19,31.7,2024,GWS-STATPOP2024,wohnflaeche
20,32.4,2024,GWS-STATPOP2024,wohnflaeche
21,32.9,2024,GWS-STATPOP2024,wohnflaeche
22,33.8,2024,GWS-STATPOP2024,wohnflaeche
23,34.4,2024,GWS-STATPOP2024,wohnflaeche
24,35.1,2024,GWS-STATPOP2024,wohnflaeche
25,35.7,2024,GWS-STATPOP2024,wohnflaeche
26,36.3,2024,GWS-STATPOP2024,wohnflaeche
27,36.7,2024,GWS-STATPOP2024,wohnflaeche
28,36.9,2024,GWS-STATPOP2024,wohnflaeche
29,36.8,2024,GWS-STATPOP2024,wohnflaeche
30,36.7,2024,GWS-STATPOP2024,wohnflaeche
31,36.2,2024,GWS-STATPOP2024,wohnflaeche
32,35.7,2024,GWS-STATPOP2024,wohnflaeche
33,35.2,2024,GWS-STATPOP2024,wohnflaeche
34,34.8,2024,GWS-STATPOP2024,wohnflaeche
35,34.3,2024,GWS-STATPOP2024,wohnflaeche
36,33.9,2024,GWS-STATPOP2024,wohnflaeche
37,33.5,2024,GWS-STATPOP2024,wohnflaeche
38,33.5,2024,GWS-STATPOP2024,wohnflaeche
39,33.5,2024,GWS-STATPOP2024,wohnflaeche
40,33.6,2024,GWS-STATPOP2024,wohnflaeche
41,33.6,2024,GWS-STATPOP2024,wohnflaeche
42,33.8,2024,GWS-STATPOP2024,wohnflaeche
43,34.1,2024,GWS-STATPOP2024,wohnflaeche
44,34.5,2024,GWS-STATPOP2024,wohnflaeche
45,34.9,2024,GWS-STATPOP2024,wohnflaeche
46,35.2,2024,GWS-STATPOP2024,wohnflaeche
47,35.8,2024,GWS-STATPOP2024,wohnflaeche
48,36.3,2024,GWS-STATPOP2024,wohnflaeche
49,37.0,2024,GWS-STATPOP2024,wohnflaeche
50,37.8,2024,GWS-STATPOP2024,wohnflaeche
51,38.7,2024,GWS-STATPOP2024,wohnflaeche
52,39.8,2024,GWS-STATPOP2024,wohnflaeche
53,41.0,2024,GWS-STATPOP2024,wohnflaeche
54,42.2,2024,GWS-STATPOP2024,wohnflaeche
55,43.5,2024,GWS-STATPOP2024,wohnflaeche
56,44.9,2024,GWS-STATPOP2024,wohnflaeche
57,46.3,2024,GWS-STATPOP2024,wohnflaeche
58,47.4,2024,GWS-STATPOP2024,wohnflaeche
59,48.7,2024,GWS-STATPOP2024,wohnflaeche
60,50.1,2024,GWS-STATPOP2024,wohnflaeche
61,51.3,2024,GWS-STATPOP2024,wohnflaeche
62,52.3,2024,GWS-STATPOP2024,wohnflaeche
63,53.3,2024,GWS-STATPOP2024,wohnflaeche
64,54.0,2024,GWS-STATPOP2024,wohnflaeche
65,55.0,2024,GWS-STATPOP2024,wohnflaeche
66,55.9,2024,GWS-STATPOP2024,wohnflaeche
67,56.9,2024,GWS-STATPOP2024,wohnflaeche
68,57.1,2024,GWS-STATPOP2024,wohnflaeche
69,57.2,2024,GWS-STATPOP2024,wohnflaeche
70,57.7,2024,GWS-STATPOP2024,wohnflaeche
71,58.3,2024,GWS-STATPOP2024,wohnflaeche
72,58.8,2024,GWS-STATPOP2024,wohnflaeche
73,59.3,2024,GWS-STATPOP2024,wohnflaeche
74,59.3,2024,GWS-STATPOP2024,wohnflaeche
75,59.7,2024,GWS-STATPOP2024,wohnflaeche
76,60.3,2024,GWS-STATPOP2024,wohnflaeche
77,60.8,2024,GWS-STATPOP2024,wohnflaeche
78,61.3,2024,GWS-STATPOP2024,wohnflaeche
79,61.5,2024,GWS-STATPOP2024,wohnflaeche
80,61.8,2024,GWS-STATPOP2024,wohnflaeche
81,62.1,2024,GWS-STATPOP2024,wohnflaeche
82,62.5,2024,GWS-STATPOP2024,wohnflaeche
83,62.8,2024,GWS-STATPOP2024,wohnflaeche
84,62.7,2024,GWS-STATPOP2024,wohnflaeche
85,63.5,2024,GWS-STATPOP2024,wohnflaeche
86,63.5,2024,GWS-STATPOP2024,wohnflaeche
87,63.7,2024,GWS-STATPOP2024,wohnflaeche
88,64.9,2024,GWS-STATPOP2024,wohnflaeche
89,65.2,2024,GWS-STATPOP2024,wohnflaeche
90,66.1,2024,GWS-STATPOP2024,wohnflaeche
91,67.0,2024,GWS-STATPOP2024,wohnflaeche
92,67.5,2024,GWS-STATPOP2024,wohnflaeche
93,68.0,2024,GWS-STATPOP2024,wohnflaeche
94,69.2,2024,GWS-STATPOP2024,wohnflaeche
95,68.9,2024,GWS-STATPOP2024,wohnflaeche
96,69.4,2024,GWS-STATPOP2024,wohnflaeche
97,70.4,2024,GWS-STATPOP2024,wohnflaeche
98,69.3,2024,GWS-STATPOP2024,wohnflaeche
99,72.4,2024,GWS-STATPOP2024,wohnflaeche
0,27.6,2023,GWS-STATPOP2023,wohnflaeche
1,28.4,2023,GWS-STATPOP2023,wohnflaeche
2,28.3,2023,GWS-STATPOP2023,wohnflaeche
3,27.9,2023,GWS-STATPOP2023,wohnflaeche
4,28.0,2023,GWS-STATPOP2023,wohnflaeche
5,28.1,2023,GWS-STATPOP2023,wohnflaeche
6,28.2,2023,GWS-STATPOP2023,wohnflaeche
7,28.4,2023,GWS-STATPOP2023,wohnflaeche
8,28.5,2023,GWS-STATPOP2023,wohnflaeche
9,28.7,2023,GWS-STATPOP2023,wohnflaeche
10,29.1,2023,GWS-STATPOP2023,wohnflaeche
11,29.2,2023,GWS-STATPOP2023,wohnflaeche
12,29.6,2023,GWS-STATPOP2023,wohnflaeche
13,29.8,2023,GWS-STATPOP2023,wohnflaeche
14,30.0,2023,GWS-STATPOP2023,wohnflaeche
15,30.4,2023,GWS-STATPOP2023,wohnflaeche
16,30.6,2023,GWS-STATPOP2023,wohnflaeche
17,30.9,2023,GWS-STATPOP2023,wohnflaeche
18,31.3,2023,GWS-STATPOP2023,wohnflaeche
19,31.9,2023,GWS-STATPOP2023,wohnflaeche
20,32.4,2023,GWS-STATPOP2023,wohnflaeche
21,33.2,2023,GWS-STATPOP2023,wohnflaeche
22,33.8,2023,GWS-STATPOP2023,wohnflaeche
23,34.6,2023,GWS-STATPOP2023,wohnflaeche
24,35.3,2023,GWS-STATPOP2023,wohnflaeche
25,35.8,2023,GWS-STATPOP2023,wohnflaeche
26,36.4,2023,GWS-STATPOP2023,wohnflaeche
27,36.8,2023,GWS-STATPOP2023,wohnflaeche
28,36.9,2023,GWS-STATPOP2023,wohnflaeche
29,36.9,2023,GWS-STATPOP2023,wohnflaeche
30,36.4,2023,GWS-STATPOP2023,wohnflaeche
31,36.1,2023,GWS-STATPOP2023,wohnflaeche
32,35.6,2023,GWS-STATPOP2023,wohnflaeche
33,35.1,2023,GWS-STATPOP2023,wohnflaeche
34,34.6,2023,GWS-STATPOP2023,wohnflaeche
35,34.1,2023,GWS-STATPOP2023,wohnflaeche
36,33.8,2023,GWS-STATPOP2023,wohnflaeche
37,33.5,2023,GWS-STATPOP2023,wohnflaeche
38,33.4,2023,GWS-STATPOP2023,wohnflaeche
39,33.5,2023,GWS-STATPOP2023,wohnflaeche
40,33.5,2023,GWS-STATPOP2023,wohnflaeche
41,33.6,2023,GWS-STATPOP2023,wohnflaeche
42,33.9,2023,GWS-STATPOP2023,wohnflaeche
43,34.2,2023,GWS-STATPOP2023,wohnflaeche
44,34.6,2023,GWS-STATPOP2023,wohnflaeche
45,34.9,2023,GWS-STATPOP2023,wohnflaeche
46,35.4,2023,GWS-STATPOP2023,wohnflaeche
47,35.9,2023,GWS-STATPOP2023,wohnflaeche
48,36.6,2023,GWS-STATPOP2023,wohnflaeche
49,37.3,2023,GWS-STATPOP2023,wohnflaeche
50,38.2,2023,GWS-STATPOP2023,wohnflaeche
51,39.2,2023,GWS-STATPOP2023,wohnflaeche
52,40.3,2023,GWS-STATPOP2023,wohnflaeche
53,41.4,2023,GWS-STATPOP2023,wohnflaeche
54,42.6,2023,GWS-STATPOP2023,wohnflaeche
55,43.9,2023,GWS-STATPOP2023,wohnflaeche
56,45.3,2023,GWS-STATPOP2023,wohnflaeche
57,46.3,2023,GWS-STATPOP2023,wohnflaeche
58,47.7,2023,GWS-STATPOP2023,wohnflaeche
59,49.1,2023,GWS-STATPOP2023,wohnflaeche
60,50.3,2023,GWS-STATPOP2023,wohnflaeche
61,51.5,2023,GWS-STATPOP2023,wohnflaeche
62,52.4,2023,GWS-STATPOP2023,wohnflaeche
63,53.2,2023,GWS-STATPOP2023,wohnflaeche
64,54.1,2023,GWS-STATPOP2023,wohnflaeche
65,55.1,2023,GWS-STATPOP2023,wohnflaeche
66,56.2,2023,GWS-STATPOP2023,wohnflaeche
67,56.5,2023,GWS-STATPOP2023,wohnflaeche
68,56.7,2023,GWS-STATPOP2023,wohnflaeche
69,57.2,2023,GWS-STATPOP2023,wohnflaeche
70,57.9,2023,GWS-STATPOP2023,wohnflaeche
71,58.3,2023,GWS-STATPOP2023,wohnflaeche
72,58.9,2023,GWS-STATPOP2023,wohnflaeche
73,58.9,2023,GWS-STATPOP2023,wohnflaeche
74,59.2,2023,GWS-STATPOP2023,wohnflaeche
75,59.9,2023,GWS-STATPOP2023,wohnflaeche
76,60.4,2023,GWS-STATPOP2023,wohnflaeche
77,60.8,2023,GWS-STATPOP2023,wohnflaeche
78,61.0,2023,GWS-STATPOP2023,wohnflaeche
79,61.4,2023,GWS-STATPOP2023,wohnflaeche
80,61.5,2023,GWS-STATPOP2023,wohnflaeche
81,61.9,2023,GWS-STATPOP2023,wohnflaeche
82,62.2,2023,GWS-STATPOP2023,wohnflaeche
83,62.1,2023,GWS-STATPOP2023,wohnflaeche
84,62.6,2023,GWS-STATPOP2023,wohnflaeche
85,62.7,2023,GWS-STATPOP2023,wohnflaeche
86,62.8,2023,GWS-STATPOP2023,wohnflaeche
87,64.0,2023,GWS-STATPOP2023,wohnflaeche
88,64.4,2023,GWS-STATPOP2023,wohnflaeche
89,64.8,2023,GWS-STATPOP2023,wohnflaeche
90,65.7,2023,GWS-STATPOP2023,wohnflaeche
91,66.3,2023,GWS-STATPOP2023,wohnflaeche
92,67.2,2023,GWS-STATPOP2023,wohnflaeche
93,68.1,2023,GWS-STATPOP2023,wohnflaeche
94,68.9,2023,GWS-STATPOP2023,wohnflaeche
95,69.5,2023,GWS-STATPOP2023,wohnflaeche
96,69.3,2023,GWS-STATPOP2023,wohnflaeche
97,71.3,2023,GWS-STATPOP2023,wohnflaeche
98,70.6,2023,GWS-STATPOP2023,wohnflaeche
99,71.1,2023,GWS-STATPOP2023,wohnflaeche
0,27.8,2022,GWS-STATPOP2022,wohnflaeche
1,28.5,2022,GWS-STATPOP2022,wohnflaeche
2,28.1,2022,GWS-STATPOP2022,wohnflaeche
3,27.9,2022,GWS-STATPOP2022,wohnflaeche
4,27.9,2022,GWS-STATPOP2022,wohnflaeche
5,28.0,2022,GWS-STATPOP2022,wohnflaeche
6,28.2,2022,GWS-STATPOP2022,wohnflaeche
7,28.3,2022,GWS-STATPOP2022,wohnflaeche
8,28.5,2022,GWS-STATPOP2022,wohnflaeche
9,28.9,2022,GWS-STATPOP2022,wohnflaeche
10,29.0,2022,GWS-STATPOP2022,wohnflaeche
11,29.3,2022,GWS-STATPOP2022,wohnflaeche
12,29.6,2022,GWS-STATPOP2022,wohnflaeche
13,29.8,2022,GWS-STATPOP2022,wohnflaeche
14,30.2,2022,GWS-STATPOP2022,wohnflaeche
15,30.3,2022,GWS-STATPOP2022,wohnflaeche
16,30.7,2022,GWS-STATPOP2022,wohnflaeche
17,31.0,2022,GWS-STATPOP2022,wohnflaeche
18,31.5,2022,GWS-STATPOP2022,wohnflaeche
19,31.9,2022,GWS-STATPOP2022,wohnflaeche
20,32.5,2022,GWS-STATPOP2022,wohnflaeche
21,33.1,2022,GWS-STATPOP2022,wohnflaeche
22,33.9,2022,GWS-STATPOP2022,wohnflaeche
23,34.7,2022,GWS-STATPOP2022,wohnflaeche
24,35.3,2022,GWS-STATPOP2022,wohnflaeche
25,36.0,2022,GWS-STATPOP2022,wohnflaeche
26,36.5,2022,GWS-STATPOP2022,wohnflaeche
27,36.8,2022,GWS-STATPOP2022,wohnflaeche
28,36.8,2022,GWS-STATPOP2022,wohnflaeche
29,36.7,2022,GWS-STATPOP2022,wohnflaeche
30,36.4,2022,GWS-STATPOP2022,wohnflaeche
31,35.9,2022,GWS-STATPOP2022,wohnflaeche
32,35.4,2022,GWS-STATPOP2022,wohnflaeche
33,35.0,2022,GWS-STATPOP2022,wohnflaeche
34,34.4,2022,GWS-STATPOP2022,wohnflaeche
35,33.9,2022,GWS-STATPOP2022,wohnflaeche
36,33.7,2022,GWS-STATPOP2022,wohnflaeche
37,33.5,2022,GWS-STATPOP2022,wohnflaeche
38,33.4,2022,GWS-STATPOP2022,wohnflaeche
39,33.3,2022,GWS-STATPOP2022,wohnflaeche
40,33.4,2022,GWS-STATPOP2022,wohnflaeche
41,33.6,2022,GWS-STATPOP2022,wohnflaeche
42,33.9,2022,GWS-STATPOP2022,wohnflaeche
43,34.3,2022,GWS-STATPOP2022,wohnflaeche
44,34.6,2022,GWS-STATPOP2022,wohnflaeche
45,35.1,2022,GWS-STATPOP2022,wohnflaeche
46,35.5,2022,GWS-STATPOP2022,wohnflaeche
47,36.1,2022,GWS-STATPOP2022,wohnflaeche
48,36.8,2022,GWS-STATPOP2022,wohnflaeche
49,37.6,2022,GWS-STATPOP2022,wohnflaeche
50,38.5,2022,GWS-STATPOP2022,wohnflaeche
51,39.6,2022,GWS-STATPOP2022,wohnflaeche
52,40.7,2022,GWS-STATPOP2022,wohnflaeche
53,41.7,2022,GWS-STATPOP2022,wohnflaeche
54,43.0,2022,GWS-STATPOP2022,wohnflaeche
55,44.3,2022,GWS-STATPOP2022,wohnflaeche
56,45.2,2022,GWS-STATPOP2022,wohnflaeche
57,46.6,2022,GWS-STATPOP2022,wohnflaeche
58,48.0,2022,GWS-STATPOP2022,wohnflaeche
59,49.2,2022,GWS-STATPOP2022,wohnflaeche
60,50.3,2022,GWS-STATPOP2022,wohnflaeche
61,51.3,2022,GWS-STATPOP2022,wohnflaeche
62,52.1,2022,GWS-STATPOP2022,wohnflaeche
63,53.2,2022,GWS-STATPOP2022,wohnflaeche
64,54.2,2022,GWS-STATPOP2022,wohnflaeche
