time_period,geo,obs_value,obs_confidence,obs_status,code,label_en,label_fr,label_de,label_it
2019,CH040,27.7,0.5,A,CH040,Zürich,Zurich,Zürich,Zurigo
2019,CH021,38.8,0.6,A,CH021,Bern,Berne,Bern,Berna
2019,CH061,34.4,0.7,A,CH061,Luzern,Lucerne,Luzern,Lucerna
2019,CH062,42.9,3.5,A,CH062,Uri,Uri,Uri,Uri
2019,CH063,39.4,1.6,A,CH063,Schwyz,Schwyz,Schwyz,Svitto
2019,CH064,47.3,3.7,A,CH064,Obwalden,Obwald,Obwalden,Obvaldo
2019,CH065,39.7,3.1,A,CH065,Nidwalden,Nidwald,Nidwalden,Nidvaldo
2019,CH051,44.4,3.3,A,CH051,Glarus,Glaris,Glarus,Glarona
2019,CH066,32.6,1.2,A,CH066,Zug,Zoug,Zug,Zugo
2019,CH022,42.2,1.2,A,CH022,Freiburg,Fribourg,Freiburg,Friburgo
2019,CH023,47.3,1.3,A,CH023,Solothurn,Soleure,Solothurn,Soletta
2019,CH031,15.8,1.1,A,CH031,Basel-Stadt,Bâle-Ville,Basel-Stadt,Basilea Città
2019,CH032,44.1,1.2,A,CH032,Basel-Landschaft,Bâle-Campagne,Basel-Landschaft,Basilea Campagna
2019,CH052,41.6,2.3,A,CH052,Schaffhausen,Schaffhouse,Schaffhausen,Sciaffusa
2019,CH053,46.7,3.0,A,CH053,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzell Ausserrhoden,Appenzello Esterno
2019,CH054,56.9,5.6,A,CH054,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzell Innerrhoden,Appenzello Interno
2019,CH055,40.6,0.9,A,CH055,St. Gallen,Saint-Gall,St. Gallen,San Gallo
2019,CH056,44.3,1.5,A,CH056,Graubünden,Grisons,Graubünden,Grigioni
2019,CH033,47.3,0.8,A,CH033,Aargau,Argovie,Aargau,Argovia
2019,CH057,45.4,1.3,A,CH057,Thurgau,Thurgovie,Thurgau,Turgovia
2019,CH070,38.1,0.8,A,CH070,Ticino,Tessin,Tessin,Ticino
2019,CH011,29.8,0.5,A,CH011,Vaud,Vaud,Waadt,Vaud
2019,CH012,54.5,1.2,A,CH012,Valais,Valais,Wallis,Vallese
2019,CH024,30.3,1.0,A,CH024,Neuchâtel,Neuchâtel,Neuenburg,Neuchâtel
2019,CH013,18.1,0.6,A,CH013,Genève,Genève,Genf,Ginevra
2019,CH025,49.5,2.5,A,CH025,Jura,Jura,Jura,Giura
2019,CH,36.4,0.2,A,CH,Switzerland,Suisse,Schweiz,Svizzera
2020,CH040,27.4,0.4,A,CH040,Zürich,Zurich,Zürich,Zurigo
2020,CH021,38.3,0.6,A,CH021,Bern,Berne,Bern,Berna
2020,CH061,34.0,0.6,A,CH061,Luzern,Lucerne,Luzern,Lucerna
2020,CH062,44.4,3.5,A,CH062,Uri,Uri,Uri,Uri
2020,CH063,41.0,1.6,A,CH063,Schwyz,Schwyz,Schwyz,Svitto
