userid,imode,sample_group,intstart,intend,totaltime,finished,indate,spr,birthyear,age,agecat,sex,f10000,f10100,f13400a,f13400b,f13400c,f13400d,f13400e,f13400f,f12700c,f12700rec,f12720rec,f12720main6,f12730c,f12730rec,f12740rec,f12740main6,q03,q04a,q04b,q04c,q04d,q04e,q04f,q04g,q05b,q05a,q05c,q05d,q05e,q06a,q06b,q06c,q06d,q07,q09,f14610,f15656,f11100,exp_ge,q_e1,q_e2,q_e3,q_e4,f11100rec,f11700,f11301,f11302,f11303,f11304,f11305,f11306,f11307,f11308,f11309,f11310,f11311,f11312,f11400rec,f11400main6,q1,q2,f11600,f11605,q3,q9a_web,q9a_paper,q9b_web,q9b_paper,q9c_web,q9c_paper,q9d_web,q9d_paper,q4a_web,q4a_paper,q4b_web,q4b_paper,q4c_web,q4c_paper,q4d_web,q4d_paper,q4e_web,q4e_paper,q4f_web,q4f_paper,q4g_web,q4g_paper,q4h_web,q4h_paper,q4i_web,q4i_paper,q5,q6,q7,q8,f11800rec,f11800main6,f11800zh,f11800ti,f11800ge,f11900,f12010,f12021,f12022,f12023,f12030a,f12030b,f12030c,f12030d,f12030e,f12030f,f12030g,f12030h,f12030i,f12030j,f12030k,f12030l,f12030m,f12030o,f12025,f12301,f12301p,f12301pmain6,f12302,f12302p,f12302pmain6,f10200,f10200rec,f10250,f10300rec,f10300main6,q14a,q14b,f14400a,f14400b,f14400c,f14400d,f14400e,f14400f,f14400g,f14400h,f14400i,q16a,q16b,q16c,q16d,q16e,f15130a,f15130b,f15130c,f15130d,f15130e,f15130f,f15130g,f15130h,f15130i,f15200,f13700,f14000,f14050,f14010rec,f14010main6,f14070,f13306,f13660a,f13660b,f13660c,f13660d,f13660e,f13660f,f13660g,f13660i,f13660j,f13660k,f13660l,f13660m,f13660n,f12500,f14079a,f14079b,f14079c,f14079d,f14079e,f14079f,f14079g,f14079h,f14081rec,f14081main6,f20211,f20212,f20213,f21000a,f21000b,f21000c,f21000d,f21000e,f21000f,f21000g,f21000h,f21010a,f21010b,f21010c,f21010d,f21010e,f21010f,f21010g,f12026,f21020,f21030,f13322,f12900rec,f12900main6,f12905rec,f12905main6,f15420,f15430,f15435,f15440,f15470,f15480,f15485,f15810,f15811,f15812,f15813,q08,f15900,f15900rec,f16300,f16300rec,f16312,f16312rec,f16313,f16313rec,f20300,e11,f20500,f20700,f20710,f20221,f20210rec1,f20210rec2,f20210rec3,f20760,f20900,f21310,e6b_lev,f21400,f26100,f21500_f24900,f21500,f24900,f21550_f24950,f21550,f24950,isco08prof_r,isco08prof_r_pre,isco08prof_r_pst,f21700_f25100,f21700,f25100,f21750_f25150,f21750,f25150,f21800,class16_r,class8_r,class5_r,f21910,e6b_lev_partner,f22000_f22400,f22100_f22500,f22150_f22550,isco08prof_p,isco08prof_p_pre,isco08prof_p_pst,f22300_f22700,f22350_f22750,class16_p,class8_p,class5_p,f22910,e6b_lev_main_earner,f23000_f23400,f23100_f23500,f23150_f23550,isco08prof_me,isco08prof_me_pre,isco08prof_me_pst,f23300_f23700,f23350_f23750,class16_h,class8_h,class5_h,class16,class8,class5,f28910,f29100,f21200,canton_sample,bigregion_sample,lingreg_sample,birthcountry_sample,hhsize_sample,taxableincome,smt9,msize,foreigners,msvp,msp,mfdp,mgps,mcvp,mglp,mbdp,weight_d,weight_d_t,weight_d_p,weight_tot,weight_t_zh,weight_p_zh,weight_tot_zh,weight_t_ti,weight_p_ti,weight_tot_ti,weight_t_ge,weight_p_ge,weight_tot_ge,year
2,1,1,10/22/2019 06:47:46,10/22/2019 07:42:47,55.0,1.0,,2,1950,69,6,1,25,2.0,2.0,2.0,3.0,4.0,3.0,2.0,8.0,5.0,10.0,2.0,19.0,13.0,20.0,3.0,2.0,,4.0,4.0,,,2.0,,,,,,,,,,,3.0,1.0,2.0,3.0,,2.0,,4.0,,,1.0,2.0,,,,,,,,,,,,,,,2.0,2.0,,3.0,2.0,2.0,,3.0,,3.0,,3.0,,2.0,,3.0,,1.0,,3.0,,2.0,,3.0,,1.0,,4.0,,2.0,,1.0,3.0,2.0,2.0,10.0,2.0,,,3.0,1.0,2.0,,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,166.0,10.0,2.0,167.0,20.0,3.0,1.0,1.0,25.0,10.0,2.0,,,9.0,9.0,,,,,,,,,,,,,8.0,7.0,3.0,,3.0,5.0,10.0,,10.0,7.0,1.0,1.0,,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,3.0,10.0,2.0,,,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,1.0,5.0,0.0,4.0,1.0,1950.0,3.0,1.0,,,2.0,8100.0,,,2.0,6.0,7.0,,7.0,1.0,4.0,,4.0,,,,1112.0,,1112.0,,,,11.0,,11.0,,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,3.0,11.0,1.0,2.0,GE,1,fr,,,96404.615,11.0,4.0,34.350659,16.614536,12.326547,20.942334,21.556529,9.2868517,5.8917197,0.41230664,0.142744365078352,0.0890674970344977,0.143371715428811,0.0894589417366995,1.0,1.0,1.0,1.0,1.0,1.0,0.582254109,1.1179213,0.650914270463622,2019
4,1,0,11/1/2019 14:07:09,11/1/2019 14:26:39,19.4833333333333,1.0,,1,1987,32,2,2,2,2.0,2.0,3.0,4.0,4.0,3.0,2.0,17.0,4.0,50.0,6.0,46.0,3.0,30.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,5.0,,,,3.0,2.0,2.0,2.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,3.0,19.0,50.0,6.0,10.0,60.0,4.0,1.0,1.0,2.0,30.0,5.0,5.0,5.0,2.0,0.0,10.0,0.0,10.0,7.0,0.0,,,3.0,2.0,8.0,5.0,10.0,6.0,7.0,1.0,10.0,1.0,4.0,9.0,,,1.0,2.0,1.0,,30.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,3.0,4.0,4.0,3.0,,,6.0,5.0,7.0,8.0,6.0,7.0,8.0,2.0,2.0,2.0,2.0,30.0,5.0,30.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,,0.0,4.0,1.0,1994.0,4.0,2.0,1.0,,1.0,8100.0,,,7.0,,11.0,1.0,2.0,,3.0,3.0,,,,,2635.0,2635.0,,4.0,4.0,,3.0,3.0,,3.0,14.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,7.0,2.0,4.0,2.0,1.0,BE,2,de,8100.0,2.0,75290.681,11.0,3.0,19.351905,18.265388,21.73107,9.6917394,18.265674,2.5081343,13.082006,6.4597313,1.93056115734379,1.20460271802849,1.83180890768947,1.14298476415404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
5,1,1,10/30/2019 13:47:44,10/30/2019 14:22:25,34.6666666666667,1.0,,2,1928,91,7,2,25,2.0,2.0,2.0,4.0,4.0,4.0,2.0,8.0,5.0,10.0,2.0,6.0,8.0,20.0,3.0,2.0,,4.0,2.0,,,4.0,,,,,,,,,,,3.0,2.0,2.0,3.0,,3.0,,,4.0,,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,1.0,1.0,,4.0,,1.0,,4.0,,1.0,,3.0,,4.0,,2.0,,2.0,,4.0,,2.0,,4.0,,2.0,,1.0,3.0,2.0,1.0,10.0,2.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,166.0,10.0,2.0,167.0,20.0,3.0,1.0,1.0,25.0,10.0,2.0,,,10.0,8.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,8.0,5.0,1.0,10.0,1.0,5.0,5.0,,10.0,8.0,2.0,1.0,,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,,,,,,,,0.0,5.0,8.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,,0.0,4.0,1.0,1928.0,1.0,2.0,,,2.0,8212.0,,,2.0,2.0,7.0,,7.0,4.0,3.0,,3.0,,,,,,,1.0,,1.0,4.0,,4.0,2.0,,,,13.0,2.0,1.0,4.0,2.0,2411.0,,2411.0,,7.0,2.0,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,2.0,GE,1,fr,,,86601.858,11.0,1.0,47.871845,12.61601,17.868143,15.125433,25.996981,5.405378,5.0114997,0.22442197,0.142744365078352,0.0890674970344977,0.143371715428811,0.0894589417366995,1.0,1.0,1.0,1.0,1.0,1.0,0.582254109,1.1179213,0.650914270463622,2019
6,1,0,10/22/2019 07:53:23,10/22/2019 08:18:14,24.8333333333333,1.0,,1,1963,56,5,2,7,2.0,2.0,3.0,3.0,4.0,3.0,2.0,17.0,4.0,50.0,6.0,11.0,8.0,30.0,5.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,7.0,,,4.0,4.0,2.0,6.0,10.0,0.0,10.0,10.0,5.0,,,7.0,8.0,8.0,7.0,9.0,8.0,6.0,1.0,10.0,0.0,0.0,7.0,,,1.0,2.0,1.0,,50.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,3.0,3.0,3.0,,,8.0,8.0,8.0,8.0,5.0,3.0,7.0,2.0,2.0,1.0,3.0,20.0,3.0,20.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,1985.0,1.0,2.0,,,1.0,8100.0,,,2.0,6.0,5.0,,3.0,,3.0,3.0,,,,,5311.0,5311.0,,1.0,1.0,,6.0,6.0,,2.0,15.0,8.0,4.0,5.0,,1.0,2.0,,7232.0,7232.0,,1.0,1.0,7.0,4.0,4.0,,,,,,,,,,,,,,15.0,8.0,4.0,8.0,1.0,2.0,NW,6,de,8100.0,3.0,75324.556,13.0,5.0,14.63124,54.799183,,,,45.200817,,,0.451533368236516,0.281741047461367,0.571188648361177,0.356401762101944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
7,1,0,11/1/2019 09:41:40,11/1/2019 10:02:24,20.7166666666667,1.0,,3,1967,52,4,1,21,2.0,2.0,2.0,4.0,4.0,4.0,3.0,17.0,4.0,50.0,6.0,49.0,10.0,,,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,6.0,,6.0,,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,,,0.0,0.0,0.0,3.0,113.0,50.0,6.0,110.0,30.0,5.0,1.0,1.0,21.0,30.0,5.0,5.0,5.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,,5.0,5.0,8.0,5.0,5.0,7.0,8.0,0.0,10.0,0.0,0.0,10.0,10.0,,0.0,2.0,1.0,,50.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,2.0,2.0,2.0,4.0,4.0,4.0,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,,,4.0,20.0,3.0,10.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0,3.0,1.0,,0.0,,0.0,,0.0,2.0,0.0,1967.0,4.0,1.0,,,3.0,8100.0,,,2.0,6.0,5.0,,1.0,,2.0,2.0,,,,,3300.0,3300.0,,2.0,2.0,,11.0,11.0,,,10.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,2.0,6.0,1.0,2.0,TI,7,it,8100.0,1.0,66128.949,21.0,6.0,23.720322,9.4408392,13.645657,21.948618,11.040981,16.517024,0.45337363,,0.340904815527355,0.212712695379339,0.245906533518037,0.153437086170507,1.0,1.0,1.0,0.738516082,0.820837838,0.606201944077111,1.0,1.0,1.0,2019
8,1,0,12/6/2019 12:19:27,12/6/2019 13:01:32,42.05,1.0,,2,1966,53,4,1,12,2.0,3.0,3.0,2.0,2.0,2.0,3.0,33.0,4.0,50.0,6.0,6.0,8.0,40.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,0.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,12.0,50.0,6.0,3.0,3.0,0.0,7.0,9.0,3.0,10.0,3.0,0.0,,,1.0,1.0,5.0,0.0,7.0,9.0,9.0,6.0,6.0,5.0,7.0,10.0,,,3.0,2.0,2.0,1.0,50.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,2.0,3.0,2.0,4.0,4.0,3.0,,,7.0,2.0,6.0,6.0,5.0,3.0,4.0,,1.0,2.0,3.0,,,,,4.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,5.0,1.0,4.0,2.0,4.0,0.0,3.0,0.0,2.0,0.0,4.0,1.0,,1.0,2.0,,,2.0,8100.0,,,7.0,,3.0,,2.0,,3.0,3.0,,,,,2341.0,2341.0,,1.0,1.0,,6.0,6.0,,2.0,14.0,7.0,2.0,7.0,,1.0,3.0,,5223.0,5223.0,,1.0,2.0,15.0,8.0,4.0,,,,,,,,,,,,,,14.0,7.0,2.0,3.0,3.0,1.0,BS,3,de,8100.0,2.0,82770.196,11.0,1.0,37.722486,11.284585,34.031621,5.7729968,19.402623,4.1344772,5.5636903,0.38312972,1.66414215117431,3.29890711774683,1.66414215117431,3.29890711774683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
9,1,0,11/17/2019 21:07:02,11/17/2019 21:35:29,28.4333333333333,1.0,,2,1985,34,2,2,23,2.0,4.0,3.0,4.0,3.0,1.0,3.0,33.0,4.0,50.0,6.0,30.0,16.0,30.0,5.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,6.0,,,,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,0.0,3.0,139.0,30.0,5.0,141.0,50.0,6.0,1.0,1.0,23.0,30.0,5.0,4.0,4.0,1.0,6.0,10.0,0.0,10.0,3.0,5.0,,,7.0,7.0,10.0,0.0,,8.0,6.0,2.0,10.0,2.0,7.0,6.0,,,2.0,2.0,1.0,,50.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,2.0,8212.0,8100.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,,1.0,8.0,5.0,7.0,8.0,5.0,9.0,2.0,2.0,2.0,3.0,,,,,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,2015.0,4.0,1.0,,,2.0,8100.0,8212.0,,2.0,6.0,13.0,3.0,2.0,,3.0,3.0,,,,,2140.0,2140.0,,1.0,1.0,,1.0,1.0,,,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,1.0,8.0,1.0,1.0,VS,1,fr,8100.0,3.0,67044.608,12.0,5.0,13.284085,18.067814,24.562371,19.601353,10.462636,23.481171,0.48175934,,2.08447663582381,1.30064059956279,1.50360569979582,0.938197428207468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
10,1,0,10/21/2019 12:40:36,10/21/2019 13:09:03,28.45,1.0,,1,1998,21,1,1,1,2.0,4.0,2.0,2.0,2.0,2.0,3.0,101.0,5.0,60.0,4.0,17.0,4.0,60.0,4.0,1.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,4.0,4.0,,,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,3.0,30.0,5.0,6.0,60.0,4.0,,3.0,,,,5.0,4.0,10.0,2.0,3.0,2.0,2.0,10.0,0.0,,,8.0,9.0,9.0,2.0,,7.0,6.0,1.0,10.0,1.0,4.0,6.0,,,4.0,1.0,1.0,,60.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,1.0,3.0,4.0,4.0,4.0,,,10.0,2.0,6.0,8.0,0.0,10.0,4.0,,,2.0,2.0,10.0,2.0,10.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1998.0,4.0,3.0,2.0,0.0,1.0,8100.0,,,1.0,7.0,9.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,4.0,2.0,3333.0,3333.0,,,8.0,3.0,2.0,3.0,3.0,2.0,3.0,13.0,1.0,2.0,ZH,4,de,8100.0,3.0,94632.959,11.0,5.0,26.739102,27.914084,16.217003,18.658867,8.8928665,9.6495824,12.506185,1.1539917,1.11877245644945,0.698074928508691,0.972903570754423,0.607057839764516,0.581216356,0.789275362,0.458739749782221,1.0,1.0,1.0,1.0,1.0,1.0,2019
11,2,0,,,,,201119.0,3,1947,72,6,2,21,3.0,,,,,,2.0,33.0,4.0,404.0,7.0,6.0,8.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,3.0,2.0,3.0,4.0,,,,,,,,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,7.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,112.0,80.0,7.0,993.0,993.0,9.0,2.0,1.0,21.0,80.0,7.0,5.0,5.0,,,,,,,,7.0,,8.0,,,,,,,,,,,,8.0,,8.0,2.0,1.0,,80.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,,,,,,,,,,8.0,,,,,2.0,2.0,2.0,2.0,10.0,2.0,10.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,2.0,5.0,0.0,2.0,0.0,,0.0,4.0,1.0,1967.0,2.0,1.0,,,3.0,8100.0,,,7.0,,7.0,,7.0,2.0,3.0,,3.0,,,,4311.0,,4311.0,1.0,,1.0,2.0,,2.0,,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,4.0,3.0,2.0,1.0,TI,7,it,8100.0,1.0,65310.122,12.0,5.0,22.235487,16.990389,12.332818,17.07104,15.599167,15.202635,0.85355199,,0.340904815527355,0.340904815527355,0.319014573808941,0.319014573808941,1.0,1.0,1.0,1.0,1.6315,1.6315,1.0,1.0,1.0,2019
12,1,0,10/25/2019 12:34:36,10/25/2019 13:04:35,29.95,1.0,,3,1993,26,2,1,21,2.0,2.0,4.0,4.0,4.0,2.0,2.0,8.0,5.0,80.0,7.0,33.0,4.0,50.0,6.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1.0,,2.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,21.0,40.0,1.0,5.0,5.0,1.0,1.0,0.0,8.0,7.0,4.0,3.0,8.0,,7.0,5.0,3.0,8.0,5.0,5.0,4.0,2.0,7.0,5.0,5.0,5.0,7.0,,8.0,2.0,1.0,,80.0,7.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,8218.0,8218.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,,8.0,7.0,5.0,9.0,8.0,8.0,5.0,2.0,2.0,2.0,2.0,,,,,2.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,5.0,4.0,5.0,2.0,4.0,0.0,1.0,1.0,,0.0,4.0,1.0,1993.0,1.0,3.0,,1.0,3.0,8218.0,,,2.0,5.0,5.0,,1.0,,3.0,3.0,,,,,5412.0,5412.0,,2.0,2.0,,11.0,11.0,,2.0,15.0,8.0,4.0,5.0,,1.0,3.0,,5412.0,5412.0,,2.0,11.0,15.0,8.0,4.0,,,,,,,,,,,,,,15.0,8.0,4.0,12.0,1.0,2.0,TI,7,it,8100.0,3.0,66128.949,21.0,6.0,23.720322,9.4408392,13.645657,21.948618,11.040981,16.517024,0.45337363,,0.340904815527355,0.212712695379339,0.432324600938317,0.269755447725576,1.0,1.0,1.0,0.738516082,0.77281579,0.570736889338535,1.0,1.0,1.0,2019
