"userid","imode","sample_group","intstart","intend","totaltime","finished","indate","spr","birthyear","age","agecat","sex","f10000","f10100","f13400a","f13400b","f13400c","f13400d","f13400e","f13400f","f12700c","f12700rec","f12720rec","f12720main6","f12730c","f12730rec","f12740rec","f12740main6","Q03","Q04a","Q04b","Q04c","Q04d","Q04e","Q04f","Q04g","Q05b","Q05a","Q05c","Q05d","Q05e","Q06a","Q06b","Q06c","Q06d","Q07","Q09","f14610","f15656","f11100","exp_GE","Q_E1","Q_E2","Q_E3","Q_E4","f11100rec","f11700","f11301","f11302","f11303","f11304","f11305","f11306","f11307","f11308","f11309","f11310","f11311","f11312","f11400rec","f11400main6","Q1","Q2","f11600","f11605","Q3","Q9a_web","Q9a_paper","Q9b_web","Q9b_paper","Q9c_web","Q9c_paper","Q9d_web","Q9d_paper","Q4a_web","Q4a_paper","Q4b_web","Q4b_paper","Q4c_web","Q4c_paper","Q4d_web","Q4d_paper","Q4e_web","Q4e_paper","Q4f_web","Q4f_paper","Q4g_web","Q4g_paper","Q4h_web","Q4h_paper","Q4i_web","Q4i_paper","Q5","Q6","Q7","Q8","f11800rec","f11800main6","f11800ZH","f11800TI","f11800GE","f11900","f12010","f12021","f12022","f12023","f12030a","f12030b","f12030c","f12030d","f12030e","f12030f","f12030g","f12030h","f12030i","f12030j","f12030k","f12030l","f12030m","f12030o","f12025","f12301","f12301p","f12301pmain6","f12302","f12302p","f12302pmain6","f10200","f10200rec","f10250","f10300rec","f10300main6","Q14a","Q14b","f14400a","f14400b","f14400c","f14400d","f14400e","f14400f","f14400g","f14400h","f14400i","Q16a","Q16b","Q16c","Q16d","Q16e","f15130a","f15130b","f15130c","f15130d","f15130e","f15130f","f15130g","f15130h","f15130i","f15200","f13700","f14000","f14050","f14010rec","f14010main6","f14070","f13306","f13660a","f13660b","f13660c","f13660d","f13660e","f13660f","f13660g","f13660i","f13660j","f13660k","f13660l","f13660m","f13660n","f12500","f14079a","f14079b","f14079c","f14079d","f14079e","f14079f","f14079g","f14079h","f14081rec","f14081main6","f20211","f20212","f20213","f21000a","f21000b","f21000c","f21000d","f21000e","f21000f","f21000g","f21000h","f21010a","f21010b","f21010c","f21010d","f21010e","f21010f","f21010g","f12026","f21020","f21030","f13322","f12900rec","f12900main6","f12905rec","f12905main6","f15420","f15430","f15435","f15440","f15470","f15480","f15485","f15810","f15811","f15812","f15813","Q08","f15900","f15900rec","f16300","f16300rec","f16312","f16312rec","f16313","f16313rec","f20300","E11","f20500","f20700","f20710","f20221","f20210rec1","f20210rec2","f20210rec3","f20760","f20900","f21310","E6b_lev","f21400","f26100","f21500_f24900","f21500","f24900","f21550_f24950","f21550","f24950","ISCO08prof_r","ISCO08prof_r_pre","ISCO08prof_r_pst","f21700_f25100","f21700","f25100","f21750_f25150","f21750","f25150","f21800","class16_r","class8_r","class5_r","f21910","E6b_lev_partner","f22000_f22400","f22100_f22500","f22150_f22550","ISCO08prof_p","ISCO08prof_p_pre","ISCO08prof_p_pst","f22300_f22700","f22350_f22750","class16_p","class8_p","class5_p","f22910","E6b_lev_main_earner","f23000_f23400","f23100_f23500","f23150_f23550","ISCO08prof_me","ISCO08prof_me_pre","ISCO08prof_me_pst","f23300_f23700","f23350_f23750","class16_h","class8_h","class5_h","class16","class8","class5","f28910","f29100","f21200","canton_sample","bigregion_sample","lingreg_sample","birthcountry_sample","hhsize_sample","taxableincome","smt9","msize","foreigners","msvp","msp","mfdp","mgps","mcvp","mglp","mbdp","weight_d","weight_d_t","weight_d_p","weight_tot","weight_t_zh","weight_p_zh","weight_tot_zh","weight_t_ti","weight_p_ti","weight_tot_ti","weight_t_ge","weight_p_ge","weight_tot_ge"
2,1,1,10/22/2019 06:47:46,10/22/2019 07:42:47,55,1,,2,1950,69,6,1,25,2,2,2,3,4,3,2,8,5,10,2,19,13,20,3,2,,4,4,,,2,,,,,,,,,,,3,1,2,3,,2,,4,,,1,2,,,,,,,,,,,,,,,2,2,,3,2,2,,3,,3,,3,,2,,3,,1,,3,,2,,3,,1,,4,,2,,1,3,2,2,10,2,,,3,1,2,,,1,,1,0,0,0,0,0,,0,,0,0,0,0,1,166,10,2,167,20,3,1,1,25,10,2,,,9,9,,,,,,,,,,,,,8,7,3,,3,5,10,,10,7,1,1,,10,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,9,0,1,0,0,0,0,0,0,,,1,,,1,1,,,,,,,7,7,7,7,7,7,7,2,2,2,3,10,2,,,3,4,3,2,2,3,2,2,3,3,3,2,4,0,1,1,5,0,4,1,1950,3,1,,,2,8100,,,2,6,7,,7,1,4,,4,,,,1112,,1112,,,,11,,11,,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,11,1,2,"GE",1,"fr",,,96404.615,11,4,34.350659,16.614536,12.326547,20.942334,21.556529,9.2868517,5.8917197,0.41230664,0.142744365078352,0.0890674970344977,0.143371715428811,0.0894589417366995,1,1,1,1,1,1,0.582254109,1.1179213,0.650914270463622
4,1,0,11/1/2019 14:07:09,11/1/2019 14:26:39,19.4833333333333,1,,1,1987,32,2,2,2,2,2,3,4,4,3,2,17,4,50,6,46,3,30,5,2,4,4,3,4,5,2,4,4,2,2,5,4,3,4,1,3,2,2,3,3,4,,,,,,1,4,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,,,,3,2,2,2,1,0,0,,0,1,0,0,,,,0,0,0,0,3,19,50,6,10,60,4,1,1,2,30,5,5,5,2,0,10,0,10,7,0,,,3,2,8,5,10,6,7,1,10,1,4,9,,,1,2,1,,30,5,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,9,1,0,0,0,1,0,0,0,,,1,,,1,1,3,4,4,3,,,6,5,7,8,6,7,8,2,2,2,2,30,5,30,5,4,2,3,1,1,1,2,1,4,1,3,1,3,1,1,1,,0,4,1,1994,4,2,1,,1,8100,,,7,,11,1,2,,3,3,,,,,2635,2635,,4,4,,3,3,,3,14,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,14,7,2,4,2,1,"BE",2,"de",8100,2,75290.681,11,3,19.351905,18.265388,21.73107,9.6917394,18.265674,2.5081343,13.082006,6.4597313,1.93056115734379,1.20460271802849,1.83180890768947,1.14298476415404,1,1,1,1,1,1,1,1,1
5,1,1,10/30/2019 13:47:44,10/30/2019 14:22:25,34.6666666666667,1,,2,1928,91,7,2,25,2,2,2,4,4,4,2,8,5,10,2,6,8,20,3,2,,4,2,,,4,,,,,,,,,,,3,2,2,3,,3,,,4,,1,1,,,,,,,,,,,,,,,2,2,,2,1,1,,4,,1,,4,,1,,3,,4,,2,,2,,4,,2,,4,,2,,1,3,2,1,10,2,,,3,1,1,,,,,,,,,,,,,,,,,,,166,10,2,167,20,3,1,1,25,10,2,,,10,8,0,0,0,0,0,,0,,,,,,8,5,1,10,1,5,5,,10,8,2,1,,10,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,1,,,1,,,1,,,,,,,,0,5,8,0,0,0,5,1,2,2,4,,,,,,,,,,,,,,,,,3,1,1,1,,0,4,1,1928,1,2,,,2,8212,,,2,2,7,,7,4,3,,3,,,,,,,1,,1,4,,4,2,,,,13,2,1,4,2,2411,,2411,,7,2,1,1,,,,,,,,,,,,,,2,1,1,,1,2,"GE",1,"fr",,,86601.858,11,1,47.871845,12.61601,17.868143,15.125433,25.996981,5.405378,5.0114997,0.22442197,0.142744365078352,0.0890674970344977,0.143371715428811,0.0894589417366995,1,1,1,1,1,1,0.582254109,1.1179213,0.650914270463622
6,1,0,10/22/2019 07:53:23,10/22/2019 08:18:14,24.8333333333333,1,,1,1963,56,5,2,7,2,2,3,3,4,3,2,17,4,50,6,11,8,30,5,2,4,4,2,4,1,2,3,3,2,2,5,4,2,3,1,3,3,2,3,3,4,,,,,,1,3,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,,,4,4,2,6,10,0,10,10,5,,,7,8,8,7,9,8,6,1,10,0,0,7,,,1,2,1,,50,6,2,2,0,0,0,0,0,1,0,0,0,1,0,0,1,8,0,0,0,1,0,0,0,0,,,1,,,1,1,1,3,3,3,,,8,8,8,8,5,3,7,2,2,1,3,20,3,20,3,3,4,4,1,1,1,2,2,4,1,4,1,3,1,1,1,4,0,4,1,1985,1,2,,,1,8100,,,2,6,5,,3,,3,3,,,,,5311,5311,,1,1,,6,6,,2,15,8,4,5,,1,2,,7232,7232,,1,1,7,4,4,,,,,,,,,,,,,,15,8,4,8,1,2,"NW",6,"de",8100,3,75324.556,13,5,14.63124,54.799183,,,,45.200817,,,0.451533368236516,0.281741047461367,0.571188648361177,0.356401762101944,1,1,1,1,1,1,1,1,1
7,1,0,11/1/2019 09:41:40,11/1/2019 10:02:24,20.7166666666667,1,,3,1967,52,4,1,21,2,2,2,4,4,4,3,17,4,50,6,49,10,,,2,3,2,3,3,3,2,2,2,4,3,4,3,2,3,2,2,3,2,3,3,4,,,,,,1,5,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,,6,,1,2,1,2,1,0,0,0,0,,1,,0,,,,0,0,0,3,113,50,6,110,30,5,1,1,21,30,5,5,5,0,0,10,0,10,0,0,0,,5,5,8,5,5,7,8,0,10,0,0,10,10,,0,2,1,,50,6,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,,,1,,,2,2,2,4,4,4,,,0,0,0,0,4,0,0,2,,,4,20,3,10,2,4,4,3,2,1,2,3,1,5,1,3,1,,0,,0,,0,2,0,1967,4,1,,,3,8100,,,2,6,5,,1,,2,2,,,,,3300,3300,,2,2,,11,11,,,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,2,6,1,2,"TI",7,"it",8100,1,66128.949,21,6,23.720322,9.4408392,13.645657,21.948618,11.040981,16.517024,0.45337363,,0.340904815527355,0.212712695379339,0.245906533518037,0.153437086170507,1,1,1,0.738516082,0.820837838,0.606201944077111,1,1,1
8,1,0,12/6/2019 12:19:27,12/6/2019 13:01:32,42.05,1,,2,1966,53,4,1,12,2,3,3,2,2,2,3,33,4,50,6,6,8,40,1,2,2,2,3,3,4,3,2,3,1,4,2,1,2,2,2,2,3,3,3,3,2,,,,,,0,,2,2,2,1,2,2,2,2,2,2,2,2,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,12,50,6,3,3,0,7,9,3,10,3,0,,,1,1,5,0,7,9,9,6,6,5,7,10,,,3,2,2,1,50,6,2,3,0,0,1,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,,,1,,,2,3,2,4,4,3,,,7,2,6,6,5,3,4,,1,2,3,,,,,4,4,2,4,1,3,3,2,5,1,4,2,4,0,3,0,2,0,4,1,,1,2,,,2,8100,,,7,,3,,2,,3,3,,,,,2341,2341,,1,1,,6,6,,2,14,7,2,7,,1,3,,5223,5223,,1,2,15,8,4,,,,,,,,,,,,,,14,7,2,3,3,1,"BS",3,"de",8100,2,82770.196,11,1,37.722486,11.284585,34.031621,5.7729968,19.402623,4.1344772,5.5636903,0.38312972,1.66414215117431,3.29890711774683,1.66414215117431,3.29890711774683,1,1,1,1,1,1,1,1,1
9,1,0,11/17/2019 21:07:02,11/17/2019 21:35:29,28.4333333333333,1,,2,1985,34,2,2,23,2,4,3,4,3,1,3,33,4,50,6,30,16,30,5,2,5,3,3,4,4,4,4,5,3,1,5,4,3,3,1,2,3,2,3,3,4,,,,,,1,3,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,,,,3,2,2,1,1,0,0,0,0,1,0,,,,0,,,,0,3,139,30,5,141,50,6,1,1,23,30,5,4,4,1,6,10,0,10,3,5,,,7,7,10,0,,8,6,2,10,2,7,6,,,2,2,1,,50,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,1,,,2,8212,8100,1,2,4,4,4,4,3,,1,8,5,7,8,5,9,2,2,2,3,,,,,4,2,3,2,1,2,1,1,4,1,3,2,3,1,1,1,2,0,4,1,2015,4,1,,,2,8100,8212,,2,6,13,3,2,,3,3,,,,,2140,2140,,1,1,,1,1,,,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,8,1,1,"VS",1,"fr",8100,3,67044.608,12,5,13.284085,18.067814,24.562371,19.601353,10.462636,23.481171,0.48175934,,2.08447663582381,1.30064059956279,1.50360569979582,0.938197428207468,1,1,1,1,1,1,1,1,1
10,1,0,10/21/2019 12:40:36,10/21/2019 13:09:03,28.45,1,,1,1998,21,1,1,1,2,4,2,2,2,2,3,101,5,60,4,17,4,60,4,1,3,4,3,5,2,2,4,2,2,2,4,4,3,3,1,1,3,2,2,2,4,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,4,,,1,2,2,1,1,1,0,0,0,0,,0,,,,0,0,0,0,,3,30,5,6,60,4,,3,,,,5,4,10,2,3,2,2,10,0,,,8,9,9,2,,7,6,1,10,1,4,6,,,4,1,1,,60,4,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,1,,,1,,,1,1,3,4,4,4,,,10,2,6,8,0,10,4,,,2,2,10,2,10,2,3,4,4,2,3,3,3,2,4,2,5,5,3,1,1,1,3,0,2,0,1998,4,3,2,0,1,8100,,,1,7,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,4,2,3333,3333,,,8,3,2,3,3,2,3,13,1,2,"ZH",4,"de",8100,3,94632.959,11,5,26.739102,27.914084,16.217003,18.658867,8.8928665,9.6495824,12.506185,1.1539917,1.11877245644945,0.698074928508691,0.972903570754423,0.607057839764516,0.581216356,0.789275362,0.458739749782221,1,1,1,1,1,1
11,2,0,,,,,201119,3,1947,72,6,2,21,3,,,,,,2,33,4,404,7,6,8,,,,,,,,1,,,,1,,,,,,1,,3,2,3,4,,,,,,,,5,2,2,2,2,2,2,2,2,2,2,2,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,7,,1,,1,1,,,,,,,,,,,,,,,,,,,112,80,7,993,993,9,2,1,21,80,7,5,5,,,,,,,,7,,8,,,,,,,,,,,,8,,8,2,1,,80,7,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,,,1,,,1,,,,,,,,,,8,,,,,2,2,2,2,10,2,10,2,2,5,4,2,1,2,4,1,4,3,4,2,5,0,2,0,,0,4,1,1967,2,1,,,3,8100,,,7,,7,,7,2,3,,3,,,,4311,,4311,1,,1,2,,2,,11,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,4,3,2,1,"TI",7,"it",8100,1,65310.122,12,5,22.235487,16.990389,12.332818,17.07104,15.599167,15.202635,0.85355199,,0.340904815527355,0.340904815527355,0.319014573808941,0.319014573808941,1,1,1,1,1.6315,1.6315,1,1,1
12,1,0,10/25/2019 12:34:36,10/25/2019 13:04:35,29.95,1,,3,1993,26,2,1,21,2,2,4,4,4,2,2,8,5,80,7,33,4,50,6,2,3,2,3,3,2,3,3,1,3,5,1,1,2,3,4,1,2,2,3,3,4,,,,,,1,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,,2,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,21,40,1,5,5,1,1,0,8,7,4,3,8,,7,5,3,8,5,5,4,2,7,5,5,5,7,,8,2,1,,80,7,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,,,2,8218,8218,1,1,1,4,4,4,2,,8,7,5,9,8,8,5,2,2,2,2,,,,,2,5,2,4,2,3,2,2,5,4,5,2,4,0,1,1,,0,4,1,1993,1,3,,1,3,8218,,,2,5,5,,1,,3,3,,,,,5412,5412,,2,2,,11,11,,2,15,8,4,5,,1,3,,5412,5412,,2,11,15,8,4,,,,,,,,,,,,,,15,8,4,12,1,2,"TI",7,"it",8100,3,66128.949,21,6,23.720322,9.4408392,13.645657,21.948618,11.040981,16.517024,0.45337363,,0.340904815527355,0.212712695379339,0.432324600938317,0.269755447725576,1,1,1,0.738516082,0.77281579,0.570736889338535,1,1,1
