year,variable_name,age,birth_year,project_age_group,project_age_order,metric,value,unit,scale,notes
2012,ahv_ausgaben,65,1947,Babyboomers,2,anzahl_renten,85400.0,Anzahl,count,altersrenten_ab_65
2013,ahv_ausgaben,65,1948,Babyboomers,2,anzahl_renten,86103.0,Anzahl,count,altersrenten_ab_65
2014,ahv_ausgaben,65,1949,Babyboomers,2,anzahl_renten,84781.0,Anzahl,count,altersrenten_ab_65
2015,ahv_ausgaben,65,1950,Babyboomers,2,anzahl_renten,85248.0,Anzahl,count,altersrenten_ab_65
2016,ahv_ausgaben,65,1951,Babyboomers,2,anzahl_renten,82920.0,Anzahl,count,altersrenten_ab_65
2017,ahv_ausgaben,65,1952,Babyboomers,2,anzahl_renten,84746.0,Anzahl,count,altersrenten_ab_65
2018,ahv_ausgaben,65,1953,Babyboomers,2,anzahl_renten,84563.0,Anzahl,count,altersrenten_ab_65
2019,ahv_ausgaben,65,1954,Babyboomers,2,anzahl_renten,86421.0,Anzahl,count,altersrenten_ab_65
2020,ahv_ausgaben,65,1955,Babyboomers,2,anzahl_renten,88323.0,Anzahl,count,altersrenten_ab_65
2021,ahv_ausgaben,65,1956,Babyboomers,2,anzahl_renten,91007.0,Anzahl,count,altersrenten_ab_65
2022,ahv_ausgaben,65,1957,Babyboomers,2,anzahl_renten,92178.0,Anzahl,count,altersrenten_ab_65
2023,ahv_ausgaben,65,1958,Babyboomers,2,anzahl_renten,93957.0,Anzahl,count,altersrenten_ab_65
2024,ahv_ausgaben,65,1959,Babyboomers,2,anzahl_renten,97639.0,Anzahl,count,altersrenten_ab_65
2012,ahv_ausgaben,66,1946,Babyboomers,2,anzahl_renten,85654.0,Anzahl,count,altersrenten_ab_65
2013,ahv_ausgaben,66,1947,Babyboomers,2,anzahl_renten,85444.0,Anzahl,count,altersrenten_ab_65
2014,ahv_ausgaben,66,1948,Babyboomers,2,anzahl_renten,86109.0,Anzahl,count,altersrenten_ab_65
2015,ahv_ausgaben,66,1949,Babyboomers,2,anzahl_renten,84870.0,Anzahl,count,altersrenten_ab_65
2016,ahv_ausgaben,66,1950,Babyboomers,2,anzahl_renten,85351.0,Anzahl,count,altersrenten_ab_65
2017,ahv_ausgaben,66,1951,Babyboomers,2,anzahl_renten,82824.0,Anzahl,count,altersrenten_ab_65
2018,ahv_ausgaben,66,1952,Babyboomers,2,anzahl_renten,84717.0,Anzahl,count,altersrenten_ab_65
2019,ahv_ausgaben,66,1953,Babyboomers,2,anzahl_renten,84609.0,Anzahl,count,altersrenten_ab_65
2020,ahv_ausgaben,66,1954,Babyboomers,2,anzahl_renten,86760.0,Anzahl,count,altersrenten_ab_65
2021,ahv_ausgaben,66,1955,Babyboomers,2,anzahl_renten,88618.0,Anzahl,count,altersrenten_ab_65
2022,ahv_ausgaben,66,1956,Babyboomers,2,anzahl_renten,91336.0,Anzahl,count,altersrenten_ab_65
2023,ahv_ausgaben,66,1957,Babyboomers,2,anzahl_renten,92838.0,Anzahl,count,altersrenten_ab_65
2024,ahv_ausgaben,66,1958,Babyboomers,2,anzahl_renten,94719.0,Anzahl,count,altersrenten_ab_65
2012,ahv_ausgaben,67,1945,Silent Generation,1,anzahl_renten,82110.0,Anzahl,count,altersrenten_ab_65
2013,ahv_ausgaben,67,1946,Babyboomers,2,anzahl_renten,85123.0,Anzahl,count,altersrenten_ab_65
2014,ahv_ausgaben,67,1947,Babyboomers,2,anzahl_renten,84818.0,Anzahl,count,altersrenten_ab_65
2015,ahv_ausgaben,67,1948,Babyboomers,2,anzahl_renten,85496.0,Anzahl,count,altersrenten_ab_65
2016,ahv_ausgaben,67,1949,Babyboomers,2,anzahl_renten,84276.0,Anzahl,count,altersrenten_ab_65
2017,ahv_ausgaben,67,1950,Babyboomers,2,anzahl_renten,84658.0,Anzahl,count,altersrenten_ab_65
2018,ahv_ausgaben,67,1951,Babyboomers,2,anzahl_renten,82141.0,Anzahl,count,altersrenten_ab_65
2019,ahv_ausgaben,67,1952,Babyboomers,2,anzahl_renten,84203.0,Anzahl,count,altersrenten_ab_65
2020,ahv_ausgaben,67,1953,Babyboomers,2,anzahl_renten,84192.0,Anzahl,count,altersrenten_ab_65
2021,ahv_ausgaben,67,1954,Babyboomers,2,anzahl_renten,86242.0,Anzahl,count,altersrenten_ab_65
2022,ahv_ausgaben,67,1955,Babyboomers,2,anzahl_renten,88044.0,Anzahl,count,altersrenten_ab_65
2023,ahv_ausgaben,67,1956,Babyboomers,2,anzahl_renten,90978.0,Anzahl,count,altersrenten_ab_65
2024,ahv_ausgaben,67,1957,Babyboomers,2,anzahl_renten,92554.0,Anzahl,count,altersrenten_ab_65
2012,ahv_ausgaben,68,1944,Silent Generation,1,anzahl_renten,80951.0,Anzahl,count,altersrenten_ab_65
2013,ahv_ausgaben,68,1945,Silent Generation,1,anzahl_renten,81275.0,Anzahl,count,altersrenten_ab_65
2014,ahv_ausgaben,68,1946,Babyboomers,2,anzahl_renten,84338.0,Anzahl,count,altersrenten_ab_65
2015,ahv_ausgaben,68,1947,Babyboomers,2,anzahl_renten,84015.0,Anzahl,count,altersrenten_ab_65
2016,ahv_ausgaben,68,1948,Babyboomers,2,anzahl_renten,84746.0,Anzahl,count,altersrenten_ab_65
2017,ahv_ausgaben,68,1949,Babyboomers,2,anzahl_renten,83406.0,Anzahl,count,altersrenten_ab_65
2018,ahv_ausgaben,68,1950,Babyboomers,2,anzahl_renten,83755.0,Anzahl,count,altersrenten_ab_65
2019,ahv_ausgaben,68,1951,Babyboomers,2,anzahl_renten,81372.0,Anzahl,count,altersrenten_ab_65
2020,ahv_ausgaben,68,1952,Babyboomers,2,anzahl_renten,83484.0,Anzahl,count,altersrenten_ab_65
2021,ahv_ausgaben,68,1953,Babyboomers,2,anzahl_renten,83378.0,Anzahl,count,altersrenten_ab_65
2022,ahv_ausgaben,68,1954,Babyboomers,2,anzahl_renten,85533.0,Anzahl,count,altersrenten_ab_65
2023,ahv_ausgaben,68,1955,Babyboomers,2,anzahl_renten,87372.0,Anzahl,count,altersrenten_ab_65
2024,ahv_ausgaben,68,1956,Babyboomers,2,anzahl_renten,90219.0,Anzahl,count,altersrenten_ab_65
2012,ahv_ausgaben,69,1943,Silent Generation,1,anzahl_renten,77467.0,Anzahl,count,altersrenten_ab_65
2013,ahv_ausgaben,69,1944,Silent Generation,1,anzahl_renten,80100.0,Anzahl,count,altersrenten_ab_65
2014,ahv_ausgaben,69,1945,Silent Generation,1,anzahl_renten,80570.0,Anzahl,count,altersrenten_ab_65
