year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2010,ahv_einnahmen,<20,0,19,n_personen,158120.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,<20,0,19,sum_einkommen,1905575775.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,<20,0,19,sum_beitrag_ahv,160068365.1,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,20-24,20,24,n_personen,481118.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,20-24,20,24,sum_einkommen,14569121779.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,20-24,20,24,sum_beitrag_ahv,1223806229.436,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,25-29,25,29,n_personen,546152.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,25-29,25,29,sum_einkommen,27173543077.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,25-29,25,29,sum_beitrag_ahv,2282577618.468,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,30-34,30,34,n_personen,537285.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,30-34,30,34,sum_einkommen,33734933656.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,30-34,30,34,sum_beitrag_ahv,2833734427.104,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,35-39,35,39,n_personen,535514.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,35-39,35,39,sum_einkommen,38513331475.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,35-39,35,39,sum_beitrag_ahv,3235119843.9,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,40-44,40,44,n_personen,590812.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,40-44,40,44,sum_einkommen,45776989188.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,40-44,40,44,sum_beitrag_ahv,3845267091.792,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,45-49,45,49,n_personen,590934.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,45-49,45,49,sum_einkommen,47578222110.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,45-49,45,49,sum_beitrag_ahv,3996570657.24,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,50-54,50,54,n_personen,486207.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,50-54,50,54,sum_einkommen,39444066267.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,50-54,50,54,sum_beitrag_ahv,3313301566.428,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,55-59,55,59,n_personen,383831.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,55-59,55,59,sum_einkommen,30649792066.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,55-59,55,59,sum_beitrag_ahv,2574582533.544,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,60-64,60,64,n_personen,279003.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,60-64,60,64,sum_einkommen,19010152419.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,60-64,60,64,sum_beitrag_ahv,1596852803.196,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,65-69,65,69,n_personen,49571.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,65-69,65,69,sum_einkommen,2331827361.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,65-69,65,69,sum_beitrag_ahv,195873498.324,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,70-74,70,74,n_personen,9392.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,70-74,70,74,sum_einkommen,436166036.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,70-74,70,74,sum_beitrag_ahv,36637947.024,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,75+,75,100,n_personen,4749.0,Anzahl,count,nur_arbeitnehmende
2010,ahv_einnahmen,75+,75,100,sum_einkommen,243449009.0,CHF,chf,nur_arbeitnehmende
2010,ahv_einnahmen,75+,75,100,sum_beitrag_ahv,20449716.756,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,<20,0,19,n_personen,155191.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,<20,0,19,sum_einkommen,1902669341.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,<20,0,19,sum_beitrag_ahv,159824224.644,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,20-24,20,24,n_personen,490774.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,20-24,20,24,sum_einkommen,14822951098.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,20-24,20,24,sum_beitrag_ahv,1245127892.232,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,25-29,25,29,n_personen,557469.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,25-29,25,29,sum_einkommen,27883546610.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,25-29,25,29,sum_beitrag_ahv,2342217915.24,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,30-34,30,34,n_personen,555617.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,30-34,30,34,sum_einkommen,35016736320.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,30-34,30,34,sum_beitrag_ahv,2941405850.88,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,35-39,35,39,n_personen,536678.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,35-39,35,39,sum_einkommen,38713013706.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,35-39,35,39,sum_beitrag_ahv,3251893151.304,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,40-44,40,44,n_personen,588074.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,40-44,40,44,sum_einkommen,46094940057.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,40-44,40,44,sum_beitrag_ahv,3871974964.788,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,45-49,45,49,n_personen,608470.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,45-49,45,49,sum_einkommen,49514360460.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,45-49,45,49,sum_beitrag_ahv,4159206278.64,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,50-54,50,54,n_personen,506389.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,50-54,50,54,sum_einkommen,41651930485.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,50-54,50,54,sum_beitrag_ahv,3498762160.74,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,55-59,55,59,n_personen,398156.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,55-59,55,59,sum_einkommen,32154391264.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,55-59,55,59,sum_beitrag_ahv,2700968866.176,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,60-64,60,64,n_personen,282427.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,60-64,60,64,sum_einkommen,19530730142.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,60-64,60,64,sum_beitrag_ahv,1640581331.928,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,65-69,65,69,n_personen,52104.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,65-69,65,69,sum_einkommen,2463640603.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,65-69,65,69,sum_beitrag_ahv,206945810.652,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,70-74,70,74,n_personen,10241.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,70-74,70,74,sum_einkommen,486946104.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,70-74,70,74,sum_beitrag_ahv,40903472.736,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,75+,75,100,n_personen,5037.0,Anzahl,count,nur_arbeitnehmende
2011,ahv_einnahmen,75+,75,100,sum_einkommen,258721939.0,CHF,chf,nur_arbeitnehmende
2011,ahv_einnahmen,75+,75,100,sum_beitrag_ahv,21732642.876,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,<20,0,19,n_personen,150386.0,Anzahl,count,nur_arbeitnehmende
2012,ahv_einnahmen,<20,0,19,sum_einkommen,1850369857.0,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,<20,0,19,sum_beitrag_ahv,155431067.988,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,20-24,20,24,n_personen,494504.0,Anzahl,count,nur_arbeitnehmende
2012,ahv_einnahmen,20-24,20,24,sum_einkommen,14942377042.0,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,20-24,20,24,sum_beitrag_ahv,1255159671.528,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,25-29,25,29,n_personen,562720.0,Anzahl,count,nur_arbeitnehmende
2012,ahv_einnahmen,25-29,25,29,sum_einkommen,28204722459.0,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,25-29,25,29,sum_beitrag_ahv,2369196686.556,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,30-34,30,34,n_personen,570813.0,Anzahl,count,nur_arbeitnehmende
2012,ahv_einnahmen,30-34,30,34,sum_einkommen,35915344775.0,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,30-34,30,34,sum_beitrag_ahv,3016888961.1,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,35-39,35,39,n_personen,540816.0,Anzahl,count,nur_arbeitnehmende
2012,ahv_einnahmen,35-39,35,39,sum_einkommen,38938415473.0,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,35-39,35,39,sum_beitrag_ahv,3270826899.732,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,40-44,40,44,n_personen,582859.0,Anzahl,count,nur_arbeitnehmende
2012,ahv_einnahmen,40-44,40,44,sum_einkommen,45833724855.0,CHF,chf,nur_arbeitnehmende
2012,ahv_einnahmen,40-44,40,44,sum_beitrag_ahv,3850032887.82,CHF,chf,nur_arbeitnehmende
