year,variable_name,metric,value,unit,scale
2010,ahv_makro,sum_beitrag_ahv_betriebsrechnung,27461454662.8,CHF,chf
2011,ahv_makro,sum_beitrag_ahv_betriebsrechnung,28306020529.55,CHF,chf
2012,ahv_makro,sum_beitrag_ahv_betriebsrechnung,28874979467.17,CHF,chf
2013,ahv_makro,sum_beitrag_ahv_betriebsrechnung,29539048688.11,CHF,chf
2014,ahv_makro,sum_beitrag_ahv_betriebsrechnung,29942037945.2,CHF,chf
2015,ahv_makro,sum_beitrag_ahv_betriebsrechnung,30414743160.22,CHF,chf
2016,ahv_makro,sum_beitrag_ahv_betriebsrechnung,30862217874.0,CHF,chf
2017,ahv_makro,sum_beitrag_ahv_betriebsrechnung,31142840224.45,CHF,chf
2018,ahv_makro,sum_beitrag_ahv_betriebsrechnung,31717672973.41,CHF,chf
2019,ahv_makro,sum_beitrag_ahv_betriebsrechnung,32508101244.65,CHF,chf
2020,ahv_makro,sum_beitrag_ahv_betriebsrechnung,34138673104.86,CHF,chf
2021,ahv_makro,sum_beitrag_ahv_betriebsrechnung,35129729896.6,CHF,chf
2022,ahv_makro,sum_beitrag_ahv_betriebsrechnung,36266344579.93,CHF,chf
2023,ahv_makro,sum_beitrag_ahv_betriebsrechnung,37428123981.12,CHF,chf
2024,ahv_makro,sum_beitrag_ahv_betriebsrechnung,38669479271.33,CHF,chf
