year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes,age,birth_year,project_age_group,project_age_order,method
2012,okp_premium,0 – 5,0,5,total_mio_chf,37.89002769776787,CHF,mio_chf,,0,2012,Generation Z,5,pop_weighted
2012,okp_premium,0 – 5,0,5,total_mio_chf,75.9556550516626,CHF,mio_chf,,1,2011,Generation Z,5,pop_weighted
2012,okp_premium,0 – 5,0,5,total_mio_chf,78.15041281333484,CHF,mio_chf,,2,2010,Generation Z,5,pop_weighted
2012,okp_premium,0 – 5,0,5,total_mio_chf,76.66233659461214,CHF,mio_chf,,3,2009,Generation Z,5,pop_weighted
2012,okp_premium,0 – 5,0,5,total_mio_chf,76.00038775539139,CHF,mio_chf,,4,2008,Generation Z,5,pop_weighted
2012,okp_premium,0 – 5,0,5,total_mio_chf,74.8406686172311,CHF,mio_chf,,5,2007,Generation Z,5,pop_weighted
2012,okp_premium,0 – 5,0,5,per_capita_chf,937.0637059125507,CHF,chf_per_capita_year,,0,2012,Generation Z,5,direct
2012,okp_premium,0 – 5,0,5,per_capita_chf,937.0637059125507,CHF,chf_per_capita_year,,1,2011,Generation Z,5,direct
2012,okp_premium,0 – 5,0,5,per_capita_chf,937.0637059125507,CHF,chf_per_capita_year,,2,2010,Generation Z,5,direct
2012,okp_premium,0 – 5,0,5,per_capita_chf,937.0637059125507,CHF,chf_per_capita_year,,3,2009,Generation Z,5,direct
2012,okp_premium,0 – 5,0,5,per_capita_chf,937.0637059125507,CHF,chf_per_capita_year,,4,2008,Generation Z,5,direct
2012,okp_premium,0 – 5,0,5,per_capita_chf,937.0637059125507,CHF,chf_per_capita_year,,5,2007,Generation Z,5,direct
2012,okp_premium,6 – 10,6,10,total_mio_chf,72.75407950932747,CHF,mio_chf,,6,2006,Generation Z,5,pop_weighted
2012,okp_premium,6 – 10,6,10,total_mio_chf,72.71526012210181,CHF,mio_chf,,7,2005,Generation Z,5,pop_weighted
2012,okp_premium,6 – 10,6,10,total_mio_chf,72.74753166087977,CHF,mio_chf,,8,2004,Generation Z,5,pop_weighted
2012,okp_premium,6 – 10,6,10,total_mio_chf,71.6138184725064,CHF,mio_chf,,9,2003,Generation Z,5,pop_weighted
2012,okp_premium,6 – 10,6,10,total_mio_chf,72.53051725518453,CHF,mio_chf,,10,2002,Generation Z,5,pop_weighted
2012,okp_premium,6 – 10,6,10,per_capita_chf,934.9533263338495,CHF,chf_per_capita_year,,6,2006,Generation Z,5,direct
2012,okp_premium,6 – 10,6,10,per_capita_chf,934.9533263338495,CHF,chf_per_capita_year,,7,2005,Generation Z,5,direct
2012,okp_premium,6 – 10,6,10,per_capita_chf,934.9533263338495,CHF,chf_per_capita_year,,8,2004,Generation Z,5,direct
2012,okp_premium,6 – 10,6,10,per_capita_chf,934.9533263338495,CHF,chf_per_capita_year,,9,2003,Generation Z,5,direct
2012,okp_premium,6 – 10,6,10,per_capita_chf,934.9533263338495,CHF,chf_per_capita_year,,10,2002,Generation Z,5,direct
2012,okp_premium,11 – 15,11,15,total_mio_chf,73.20686673620636,CHF,mio_chf,,11,2001,Generation Z,5,pop_weighted
2012,okp_premium,11 – 15,11,15,total_mio_chf,77.74360386633728,CHF,mio_chf,,12,2000,Generation Z,5,pop_weighted
