year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2006,praemienverbilligung,0 – 5,0,5,beneficiaries_count,166163.0,Anzahl,count,
2006,praemienverbilligung,0 – 5,0,5,beneficiary_rate,0.07627764819727534,Anteil,rate,
2006,praemienverbilligung,6 – 10,6,10,beneficiaries_count,180992.0,Anzahl,count,
2006,praemienverbilligung,6 – 10,6,10,beneficiary_rate,0.08308494732594655,Anteil,rate,
2006,praemienverbilligung,11 – 15,11,15,beneficiaries_count,178976.0,Anzahl,count,
2006,praemienverbilligung,11 – 15,11,15,beneficiary_rate,0.08215949617998923,Anteil,rate,
2006,praemienverbilligung,16 – 18,16,18,beneficiaries_count,95905.0,Anzahl,count,
2006,praemienverbilligung,16 – 18,16,18,beneficiary_rate,0.044025492139403426,Anteil,rate,
2006,praemienverbilligung,19 – 20,19,20,beneficiaries_count,83165.0,Anzahl,count,
2006,praemienverbilligung,19 – 20,19,20,beneficiary_rate,0.03817715503647866,Anteil,rate,
2006,praemienverbilligung,20 – 25,20,25,beneficiaries_count,182616.0,Anzahl,count,
2006,praemienverbilligung,20 – 25,20,25,beneficiary_rate,0.08383044963796774,Anteil,rate,
2006,praemienverbilligung,26 – 30,26,30,beneficiaries_count,147357.0,Anzahl,count,
2006,praemienverbilligung,26 – 30,26,30,beneficiary_rate,0.06764469469981826,Anteil,rate,
2006,praemienverbilligung,31 – 35,31,35,beneficiaries_count,143109.0,Anzahl,count,
2006,praemienverbilligung,31 – 35,31,35,beneficiary_rate,0.06569463692797961,Anteil,rate,
2006,praemienverbilligung,36 – 40,36,40,beneficiaries_count,175868.0,Anzahl,count,
2006,praemienverbilligung,36 – 40,36,40,beneficiary_rate,0.08073275899663836,Anteil,rate,
2006,praemienverbilligung,41 – 45,41,45,beneficiaries_count,170956.0,Anzahl,count,
2006,praemienverbilligung,41 – 45,41,45,beneficiary_rate,0.07847788993466297,Anteil,rate,
2006,praemienverbilligung,46 – 50,46,50,beneficiaries_count,122460.0,Anzahl,count,
2006,praemienverbilligung,46 – 50,46,50,beneficiary_rate,0.05621564847913397,Anteil,rate,
2006,praemienverbilligung,51 – 55,51,55,beneficiaries_count,84293.0,Anzahl,count,
